[1983-01-06][1983-01-20] Tony Flow And The Miraculously Majestic Masters Of Mayhem

Note: Originally known as Tony Flow And The Miraculously Majestic Masters Of Mayhem, the sock on cock thing made the band famous in the L.A. scene in 1983. The band that would become that same year the "Red Hot Chili Peppers" actually made a name for themselves after a gig at a local strip joint called the Kit Kat Club. The people were concentrating much more on the girls than on themselves so they returned for the encore wearing nothing but socks over their manhoods.


[1983-03-05][1983-11-23]

Note: The Cathay De Grande show was supposedly the first they did as "The Red Hot Chili Peppers". Around this time, the band kept jamming songs by day and rocking the Rhythm Lounge by night. This went on until they had about 9 songs.

Mar 25 	USA 	Hollywood, CA 	Cathay de Grande 	
Mar 31 	USA 	Hollywood, CA 	Rhythm Lounge 	
Apr 13 	USA 	Hollywood, CA 	The Anti Club 	
May ?? 	USA 	Hollywood, CA 	Cathay de Grande 	
May 28 	USA 	Hollywood, CA 	Fiesta House 	
Jun 4 	USA 	Hollywood, CA 	The Anti Club 	
Jun 11 	USA 	Los Angeles, CA 	The Vex 	
Jul ?? 	USA 	Hollywood, CA 	The Mix 	
Jul 3 	USA 	Hollywood, CA 	Kit Kat Club 	
Jul 4 	USA 	Hollywood, CA 	Music Machine 	
Jul 18 	USA 	Hollywood, CA 	Club Lingerie 	
Jul 25 	USA 	Hollywood, CA 	Music Machine 	
Jul 31 	USA 	Hollywood, CA 	Al's Bar 	
Aug 4 	USA 	Ventura, CA 	The Plant 	
Aug 17 	USA 	Universal City, CA 	Universal Amphitheater 	
Sep ?? 	USA 	Hollywood, CA 	Club Lingerie 	
Sep 10 	USA 	Hollywood, CA 	Kit Kat Club 	
Oct ?? 	USA 	Aspen, NV 	The Cathay Grand Club 	
Oct ?? 	USA 	Hollywood, CA 	Cathay de Grande 	
Oct ?? 	USA 	Irvine, CA 	The Heritage Room 	
Oct 29 	USA 	Ventura, CA 	The Plant 	
Nov ?? 	USA 	Costa Mesa, CA 	The Concert Factory 	
Nov 7 	USA 	Hollywood, CA 	Club Lingerie 	
